application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020210126823,1020230045621,,공개,공개,감광성 수지 조성물 및 이를 이용한 표시 장치의 제조 방법,삼성디스플레이 주식회사|엘티씨 (주)
1020220069144,1020230168652,,공개,공개,표시 장치의 제조 장치 및 표시 장치의 제조 방법,삼성디스플레이 주식회사|주식회사 테스|엘티씨 (주)
1020130104201,1020150025969,1015731130000,등록,등록,화학기계적 연마용 슬러리 조성물,엘티씨에이엠 주식회사
1020160019718,,1017514110000,등록,등록,폴리실세스퀴옥산 수지 조성물 및 이를 포함하는 차광용 블랙 레지스트 조성물,엘티씨 (주)
1020150191064,,1017519040000,등록,등록,유연기판용 폴리실세스퀴옥산 수지 조성물,엘티씨 (주)
1020230005600,1020240113264,,공개,공개,미생물 배양공정을 포함하는 사료 조성물의 제조방법,제주웰빙영농조합법인|주식회사 반석엘티씨
1020190156078,,1021432290000,등록,등록,철근 이음쇠장치,이병정|(주)유원엘티씨
1020140058040,,1014597250000,등록,등록,포스트-에칭 포토레지스트 에칭 중합체 및 잔류물을 제거하기 위한 스트리퍼 조성물,엘티씨에이엠 주식회사
1020150096355,,1015726390000,등록,등록,CMP 후 세정액 조성물,엘티씨에이엠 주식회사
1020190048217,1020190124161,1022608890000,등록,등록,가용성 폴리이미드 수지 및 이를 포함하는 포지티브 감광성 수지 조성물,엘티씨 (주)
1020240114199,1020260029729,,공개,공개,"금속막 및 금속배리어막 적층체용 식각조성물, 이를 이용한 식각방법 및 이로부터 제조된 반도체 소자",엘티씨에이엠 주식회사
1020120061472,,1012827990000,등록,등록,PMA를 재생하기 위한 유기용제의 정제 방법,덕산실업(주)|엘티씨에이엠 주식회사
1020230046386,1020240150284,,공개,공개,멀티-팩터 임계 비밀 공유를 위한 지분 강화 방법,한양대학교 산학협력단|주식회사 엘티씨웨어
1020190110876,1020210029885,1023977000000,등록,등록,세정제 조성물,엘티씨 (주)
1020210046486,1020220140916,,거절,거절,"신규 디아민, 이를 포함하는 폴리아믹산 조성물, 및 중합체 필름",엘티씨 (주)
1020240167256,1020250077376,,공개,공개,"신규 디아민, 이를 포함하는 폴리아믹산 및 폴리이미드 중합체",엘티씨 (주)
1020230046387,1020240150285,,공개,공개,멀티-컴파트먼트 기반의 임계 비밀 공유 및 복원 방법,한양대학교 산학협력단|주식회사 엘티씨웨어
1020140113197,,1015207930000,등록,등록,고내열성 폴리실세스퀴녹산계 감광성 수지 조성물,엘티씨 (주)
1020220073742,1020230072390,,포기,포기,근적외선 분광법을 이용한 간수치측정장치 및 이를 이용한 간수치측정방법,주식회사 무송엘티씨
1020220073727,1020230072389,,포기,포기,근적외선 분광법을 이용한 혈당측정장치 및 이를 이용한 혈당측정방법,주식회사 무송엘티씨
1020240072011,1020250172229,,공개,공개,온열 찜질 매트,주식회사 무송엘티씨
1020220073734,1020230139740,,포기,포기,비침습적 생체정보 측정 장치,주식회사 무송엘티씨
1020160028670,1020170105728,1020856770000,등록,등록,통합 공정 씬너 조성물,엘티씨에이엠 주식회사
1020150051120,1020160121296,1017227030000,등록,등록,주석-은 솔더 범프 도금액,엘티씨에이엠 주식회사
1020150180360,,1017227040000,등록,등록,주석-은 솔더 범프 고속 도금액 및 이를 이용한 도금 방법,엘티씨에이엠 주식회사
1020120155551,,1013796490000,등록,등록,포토레지스트 제거용 복합조성 씬너 조성물,엘티씨에이엠 주식회사
1020180062247,,1019533800000,등록,등록,실리콘질화막 식각 조성물,엘티씨에이엠 주식회사
1020100024241,1020110105140,1010854290000,등록,등록,노즐유닛의 교체가 용이한 식각 장치,엘티씨에이엠 주식회사
1020090078867,,1009507790000,등록,등록,TFT―LCD 통합공정용 포토레지스트 박리제 조성물,엘티씨 (주)|최호성
1020130126692,,1015116960000,등록,등록,추가공급장치를 구비하는 다결정 실리콘 잉곳 제조장치,엘티씨에이엠 주식회사
1020230107834,1020250027375,,공개,공개,박리액 조성물 및 이를 이용한 패턴 형성 방법,삼성디스플레이 주식회사|엘티씨 (주)
1020130004370,1020140092077,,거절,거절,반도체 및 디스플레이 제조공정용 세정제 조성물,엘티씨에이엠 주식회사
1020220053809,1020230154377,,공개,공개,표시 장치의 제조 방법,삼성디스플레이 주식회사|주식회사 테스|엘티씨 (주)
1020220071381,1020230171510,1028993730000,등록,등록,"신규 디아민, 이를 포함하는 폴리아믹산 및 폴리이미드 중합체",엘티씨 (주)
1020130139327,1020150056727,1022616380000,등록,등록,세정제 조성물 및 이를 이용한 금속배선 제조방법,엘티씨에이엠 주식회사|삼성디스플레이 주식회사
1020220079231,1020240002287,1027575300000,등록,등록,"전선 피복용 가용성 폴리이미드, 이를 포함하는 전선 피복용 조성물, 및 상기 조성물을 포함하는 전선용 피복물",한국화학연구원|엘티씨 (주)
1020220076970,1020230001533,,거절,거절,신규한 기능성 디아민 화합물 및 이를 이용하여 제조된 폴리이미드,엘티씨 (주)
1020170144140,1020190048872,,거절,거절,고체산화물 연료전지 금속분리판용 코팅 조성물 및 그 제조방법,엘티씨 (주)
1020200076980,1020210158539,,거절,거절,바실러스 코아귤란스 균주를 유효성분으로 포함하는 가축의 간 또는 장 손상 예방 또는 개선용 조성물,주식회사 반석엘티씨
1020150147030,,1017127440000,등록,등록,공용포트를 구비하는 잉곳 성장 장치,엘티씨에이엠 주식회사|에스케이엔펄스 주식회사
1020120076923,1020130009704,1015037040000,등록,등록,높은 광추출 성능을 갖는 무기미립자 산란막,엘티씨 (주)
1020180044429,1020190120996,1022249070000,등록,등록,드라이필름 레지스트 박리액 조성물,엘티씨 (주)
1020100113154,1020120051842,1011687010000,등록,등록,안내 날개를 구비하는 식각 장치,엘티씨에이엠 주식회사
1020100113153,1020120051841,1012419410000,등록,등록,분사 수단을 구비하는 침전 타입 식각 장치,엘티씨에이엠 주식회사
1020140112414,,1015987080000,등록,등록,원료 공급이 용이한 잉곳 성장 장치,엘티씨에이엠 주식회사|에스케이엔펄스 주식회사
1020160015304,1020170094054,1025793750000,등록,등록,"감광성 수지 조성물, 이를 포함하는 유기 발광 표시 장치 및 유기 발광 표시 장치의 제조 방법",삼성디스플레이 주식회사|엘티씨 (주)
1020150023424,1020160101301,1023602240000,등록,등록,세정용 조성물,엘티씨에이엠 주식회사|삼성디스플레이 주식회사
1020110036528,,1011094150000,소멸,소멸,가금류의 뉴캐슬병 바이러스에 대한 살바이러스 효능이 있는 가금용 사료첨가제 및 이를 함유한 사료조성물,주식회사 반석엘티씨
1020190105421,1020210025409,1023543780000,등록,등록,과산화수소를 이용한 질화티탄막 식각용 고선택비 식각액 조성물,엘티씨에이엠 주식회사
1020100008309,1020110088688,1012039690000,소멸,소멸,실리콘 단결정 잉곳 형성장치,엘티씨에이엠 주식회사
1020180092597,1020190096786,,취하,취하,실리콘질화막 식각을 위한 고선택비 식각용 조성물,엘티씨에이엠 주식회사
1020190096350,,1020715990000,등록,등록,실리콘질화막 식각을 위한 고선택비 식각용 조성물,에스케이하이닉스 주식회사|엘티씨에이엠 주식회사
1020100008308,1020110088687,1011344990000,소멸,소멸,이중가이더를 구비하는 실리콘 단결정 잉곳 형성장치,엘티씨에이엠 주식회사
1020150017857,1020150130902,,거절,거절,수납 시스템,호미 호스텔 엘티씨.
1020150114310,1020170019871,1017645770000,등록,등록,LCD 제조용 포토레지스트 박리액 조성물,엘티씨 (주)
1020100122001,,1010892110000,등록,등록,1차 알칸올 아민을 포함하는 LCD 제조용 포토레지스트 박리액 조성물,엘티씨 (주)
1020100008310,1020110088689,1011988760000,소멸,소멸,실리콘 단결정 잉곳 형성장치용 가열로 승하강 유닛 및 이를 구비한 실리콘 단결정 잉곳 형성장치,엘티씨에이엠 주식회사
1020150109708,1020150095606,,취하,취하,화학기계적 연마용 슬러리 조성물,엘티씨에이엠 주식회사
1020120063303,,1012323340000,등록,등록,유기용제의 정제 방법,덕산실업(주)|엘티씨에이엠 주식회사
1020120083865,1020140016717,1013712090000,등록,등록,PMA 재생 방법,덕산실업(주)|엘티씨에이엠 주식회사
1020190096349,,1020715980000,등록,등록,실리콘질화막 식각을 위한 고선택비 식각용 조성물,에스케이하이닉스 주식회사|엘티씨에이엠 주식회사
1020150012299,1020160092128,1023260280000,등록,등록,반도체 및 디스플레이 제조공정용 세정제 조성물,엘티씨에이엠 주식회사|삼성디스플레이 주식회사
1020190150198,1020210062762,1023344250000,등록,등록,디스플레이 제조용 포토레지스트 박리액 조성물,엘티씨 (주)
1020180016410,,1019076370000,등록,등록,실리콘질화막의 고선택비 식각 조성물,엘티씨에이엠 주식회사
1020210164549,1020230077799,1028631850000,등록,등록,신규한 트리페닐메탄 디아민 화합물,엘티씨 (주)
1020180056660,1020190131807,,거절,거절,"지방간 산란계 질병 모델, 그의 제조방법 및 산란계 지방간 치료물질 스크리닝 방법",주식회사 반석엘티씨
1020220132515,1020240053115,1028535830000,등록,등록,"신규 테트라카복실산 이무수물, 이를 포함하는 폴리아믹산 및 폴리이미드 중합체",엘티씨 (주)
1020150004269,1020160086648,,거절,거절,질화알루미늄 휘스커의 제조방법,엘티씨 (주)|영남대학교 산학협력단
1020170097856,,1019342990000,등록,등록,재배선층 또는 복합막질의 선택적 티타늄 식각액 조성물,엘티씨에이엠 주식회사
1020240076853,,1028251300000,등록,등록,디스플레이 제조용 포토레지스트 박리액 조성물,엘티씨 (주)
1020140150717,1020160051184,1016702390000,등록,등록,포스트-에칭 포토레지스트 에칭 중합체 및 잔류물을 제거하기 위한 스트리퍼 조성물,엘티씨에이엠 주식회사
