application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020240159925,1020260071386,,공개,공개,"공중합체 및 전도성 고분자를 포함하는 조성물, 이를 포함하는 이차전지용 음극, 상기 음극을 포함하는 이차전지",주식회사 한솔케미칼
1020240160622,1020260071978,,공개,공개,유기 금속 화합물의 제조방법,주식회사 한솔케미칼
1020220115649,1020240036956,,공개,공개,"음극 활물질, 그의 제조방법 및 이를 포함하는 리튬 이차 전지",주식회사 한솔케미칼
1020240040489,1020250143900,,공개,공개,고굴절 화합물 및 이의 제조방법,주식회사 한솔케미칼
1020230082470,1020250000985,1029643380000,등록,등록,"신규 화합물, 이를 포함하는 전구체 조성물, 및 이를 이용한 박막의 제조방법",주식회사 한솔케미칼
1020240003469,1020250108921,,공개,공개,글루콘산 및 글리콜계 첨가제를 이용한 폐리튬 이차전지의 유가금속 회수 방법,주식회사 한솔케미칼
1020230161179,1020250075756,1029631280000,등록,등록,고순도 및 고분자량의 정공수송층 화합물의 제조 방법,주식회사 한솔케미칼
1020240106182,1020260022731,1029638040000,등록,등록,"신규 화합물, 이의 제조방법, 이를 포함하는 전구체 화합물 및 이를 이용한 박막의 제조방법",주식회사 한솔케미칼
1020240154442,1020260067433,,공개,공개,분리막용 공중합체 및 이를 포함하는 이차전지,주식회사 한솔케미칼
1020240153554,1020260065310,,공개,공개,"공중합체 조성물을 포함하는 바인더, 상기 바인더를 포함하는 이차전지용 양극 및 상기 양극을 포함하는 이차전지",주식회사 한솔케미칼
1020240150522,1020260063158,,공개,공개,"음극 활물질, 그의 제조방법 및 이를 포함하는 리튬 이차전지",주식회사 한솔케미칼
1020230185358,1020250094887,1029611950000,등록,등록,"신규 조성물, 이를 포함하는 전구체 조성물, 및 이를 이용한 박막의 제조방법",주식회사 한솔케미칼
1020230173508,1020250084646,,공개,공개,아민 화합물로 이루어진 공중합체 및 이를 이용하는 전계발광소자,주식회사 한솔케미칼
1020230161057,1020250074222,,공개,공개,"차광성 감광성 수지 조성물, 이의 경화물, 패턴의 형성 방법 및 감광성 수지 조성물의 제조 방법",주식회사 한솔케미칼
1020220116487,1020240037673,1029604130000,등록,등록,"리튬 이차 전지용 음극 활물질, 이의 제조방법 및 이를 포함하는 리튬 이차 전지",주식회사 한솔케미칼
1020240145265,1020260058679,,공개,공개,"음극 활물질, 이를 포함하는 음극 및 리튬 이온 전지",주식회사 한솔케미칼
1020250000672,,1029583670000,등록,등록,"양자점 함유 감광성 조성물, 양자점 광학 시트, 백라이트 유닛 및 디스플레이 장치",주식회사 한솔케미칼
1020250148554,1020260057322,,공개,공개,반도체 패키지용 액상 에폭시 수지 조성물 및 이를 사용한 반도체 패키지,주식회사 한솔케미칼
1020230036432,1020240142023,,공개,공개,유기 실리콘 전구체를 이용한 고온에서의 박막 형성 방법 및 이로부터 제조된 박막,주식회사 한솔케미칼
1020220139371,1020240058536,,공개,공개,"폴리아미드 중합체를 포함하는 바인더, 이 바인더를 포함하는 이차전지용 양극 및 이 양극을 포함하는 이차전지",주식회사 한솔케미칼
1020230147595,1020250064008,,거절,거절,분리막용 공중합체 및 이를 포함하는 이차전지,주식회사 한솔케미칼
1020230170528,1020250083264,,공개,공개,이차전지 분리막 코팅용 바인더 및 이를 포함하는 이차전지,주식회사 한솔케미칼
1020220161487,1020240078865,1029523480000,등록,등록,"음극 활물질, 그의 제조방법 및 이를 포함하는 리튬 이차전지",주식회사 한솔케미칼
1020240137425,1020260051590,,공개,공개,"리튬 이차전지용 음극 활물질, 이의 제조방법, 이를 포함하는 음극 및 리튬 이차전지",현대자동차주식회사|기아 주식회사|주식회사 한솔케미칼
